frame,track_id,event,det_x1,det_y1,det_x2,det_y2,confidence,source,zone,state,missed_frames,pred_cx,pred_cy,actual_cx,actual_cy,distance_error,scale_ratio,track_identity_confidence,matched_track_id,association_cost
1,1,NEW,0.0,0.0,0.0,0.0,0.744,NONE,MEDIUM,Candidate,0,378.0,352.2,378.0,352.2,0.00,1.00,0.50,-1,0.000
1,2,NEW,0.0,0.0,0.0,0.0,0.722,NONE,NEAR,Candidate,0,830.3,557.0,830.3,557.0,0.00,1.00,0.50,-1,0.000
1,3,NEW,0.0,0.0,0.0,0.0,0.721,NONE,FAR,Candidate,0,921.9,280.0,921.9,280.0,0.00,1.00,0.50,-1,0.000
1,4,NEW,0.0,0.0,0.0,0.0,0.689,NONE,NEAR,Candidate,0,64.4,470.6,64.4,470.6,0.00,1.00,0.50,-1,0.000
1,5,NEW,0.0,0.0,0.0,0.0,0.649,NONE,MEDIUM,Candidate,0,729.1,403.8,729.1,403.8,0.00,1.00,0.50,-1,0.000
1,6,NEW,0.0,0.0,0.0,0.0,0.635,NONE,MEDIUM,Candidate,0,665.3,409.0,665.3,409.0,0.00,1.00,0.50,-1,0.000
1,7,NEW,0.0,0.0,0.0,0.0,0.575,NONE,MEDIUM,Candidate,0,839.9,387.3,839.9,387.3,0.00,1.00,0.50,-1,0.000
1,8,NEW,0.0,0.0,0.0,0.0,0.550,NONE,MEDIUM,Candidate,0,873.1,401.8,873.1,401.8,0.00,1.00,0.50,-1,0.000
1,9,NEW,0.0,0.0,0.0,0.0,0.386,NONE,FAR,Candidate,0,1021.0,99.5,1021.0,99.5,0.00,1.00,0.50,-1,0.000
1,10,NEW,0.0,0.0,0.0,0.0,0.336,NONE,MEDIUM,Candidate,0,870.0,320.7,870.0,320.7,0.00,1.00,0.50,-1,0.000
1,11,NEW,0.0,0.0,0.0,0.0,0.311,NONE,MEDIUM,Candidate,0,429.4,339.3,429.4,339.3,0.00,1.00,0.50,-1,0.000
1,13,NEW,0.0,0.0,0.0,0.0,0.257,NONE,MEDIUM,Candidate,0,866.8,312.5,866.8,312.5,0.00,1.00,0.50,-1,0.000
2,1,MATCHED,377.0,343.1,390.8,359.3,0.697,NONE,MEDIUM,Confirmed,0,381.8,351.6,383.9,351.2,2.11,1.00,0.60,5,0.276
2,2,MATCHED,809.8,531.3,849.8,600.5,0.752,NONE,NEAR,Confirmed,0,830.0,562.8,829.8,565.9,3.10,1.00,0.60,4,0.217
2,3,MATCHED,916.5,272.5,925.4,289.9,0.911,NONE,FAR,Confirmed,0,921.3,280.8,921.0,281.2,0.51,1.00,0.60,1,0.073
2,4,MATCHED,63.4,446.4,95.0,487.9,0.763,NONE,NEAR,Confirmed,0,74.0,468.3,79.2,467.1,5.35,1.00,0.50,3,0.452
2,5,MATCHED,716.4,390.7,739.0,427.4,0.557,NONE,MEDIUM,Confirmed,0,728.2,407.2,727.7,409.0,1.92,1.00,0.60,8,0.205
2,6,MATCHED,652.4,396.6,674.7,430.1,0.697,NONE,MEDIUM,Confirmed,0,664.1,411.9,663.5,413.4,1.65,1.00,0.60,6,0.178
2,7,MATCHED,828.3,372.8,850.0,406.8,0.569,NONE,MEDIUM,Confirmed,0,839.4,388.9,839.1,389.8,0.92,1.00,0.60,7,0.123
2,8,MATCHED,862.4,388.0,881.7,422.3,0.538,NONE,MEDIUM,Confirmed,0,872.4,404.0,872.0,405.1,1.22,1.00,0.60,9,0.141
2,9,MISSED,0.0,0.0,0.0,0.0,0.386,NONE,FAR,Candidate,1,1021.0,99.5,1021.0,99.5,0.00,1.17,0.45,-1,0.000
2,10,MATCHED,861.1,307.6,875.3,331.7,0.951,NONE,MEDIUM,Confirmed,0,868.8,320.0,868.2,319.6,0.73,1.00,0.60,0,0.107
